model,lat,lon,variable,lead_time,pc,pcs,tw_pc,tw_pcs,qw_pc,qw_pcs
pangu_operational,-87.18750000000003,0.0,2m_temperature,7,1.6696645610399508,0.721380269055786,0.11600329022079219,0.4269152167760317,0.0611204677733959,0.6876217921178663
graphcast_operational,-87.18750000000003,0.0,2m_temperature,7,1.6714557928218736,0.7210813631984159,0.1263810639120842,0.375646462459652,0.0625361774239254,0.6803862970435578
hres,-87.18750000000003,0.0,2m_temperature,7,1.6256903739632365,0.7287183155458987,0.11876194498508223,0.41328678378439954,0.06408146458899912,0.6724885493188734
pangu_operational,-87.18750000000003,5.625,2m_temperature,7,1.6232431902015143,0.7282622633198241,0.11109871413432054,0.4245685718327193,0.05796180656724945,0.7034775248384801
graphcast_operational,-87.18750000000003,5.625,2m_temperature,7,1.6203787130705205,0.728741788838272,0.11644552775602915,0.3968749605928607,0.05885245274594838,0.6989211346042568
hres,-87.18750000000003,5.625,2m_temperature,7,1.576401756272613,0.7361037163538044,0.11387272609798242,0.4102006857735415,0.06074661028316892,0.6892309555959331
pangu_operational,-87.18750000000003,11.25,2m_temperature,7,1.5857758647292508,0.7329281796553138,0.1039646360351062,0.43810883771917375,0.05612480226226976,0.7114966967140713
graphcast_operational,-87.18750000000003,11.25,2m_temperature,7,1.5846777198919495,0.7331131260574021,0.10636851702624461,0.4251167325610366,0.05613478916731038,0.7114453601395502
hres,-87.18750000000003,11.25,2m_temperature,7,1.5427378864454881,0.7401765124492815,0.10549654275752417,0.4298294373231142,0.05933342958608744,0.6950031048505468
pangu_operational,-87.18750000000003,16.875,2m_temperature,7,1.5563168192555579,0.734819514469372,0.09332811220091938,0.43616986093454846,0.053911341517151413,0.7191606842909858
graphcast_operational,-87.18750000000003,16.875,2m_temperature,7,1.5405329708213598,0.7375089209832235,0.09574968822610574,0.42154021168053796,0.05270402091262902,0.7254499563230608
hres,-87.18750000000003,16.875,2m_temperature,7,1.5077575552167215,0.7430935169446445,0.09610065473873369,0.4194198913080834,0.056977764111815925,0.703186827975682
pangu_operational,-87.18750000000003,22.5,2m_temperature,7,1.498710396913247,0.737310819545048,0.08570118570244377,0.4585994174967153,0.05163795145722691,0.7226130366645201
graphcast_operational,-87.18750000000003,22.5,2m_temperature,7,1.4787372400950656,0.7408116507973517,0.08758549417476966,0.4466956649853423,0.050263404416694045,0.7299967809606317
hres,-87.18750000000003,22.5,2m_temperature,7,1.4582253177053524,0.744406915161439,0.08829873634778217,0.4421898961938159,0.054795038271294276,0.7056539068069768
pangu_operational,-87.18750000000003,28.125,2m_temperature,7,1.4618802273860578,0.734664984770457,0.07649515141542361,0.48910549640019646,0.05002387937760488,0.7210935593097797
