model,lat,lon,variable,lead_time,pc,pcs,tw_pc,tw_pcs,qw_pc,qw_pcs
pangu_operational,-87.18750000000003,0.0,2m_temperature,10,2.342778026836687,0.6071026259653988,0.143282741366006,0.3069428088231139,0.08777526275849477,0.550614232010468
graphcast_operational,-87.18750000000003,0.0,2m_temperature,10,2.2851019493608113,0.6167752364838973,0.13029855951607291,0.369747166953433,0.08697297149645696,0.5547217477684572
hres,-87.18750000000003,0.0,2m_temperature,10,2.2390975947448437,0.624490431827084,0.13558431931056875,0.34417999953686845,0.08452289888901013,0.5672654614040059
pangu_operational,-87.18750000000003,5.625,2m_temperature,10,2.264840010883081,0.6190646793768136,0.14236604033667144,0.33205342670494814,0.08414486967705902,0.5690676159432768
graphcast_operational,-87.18750000000003,5.625,2m_temperature,10,2.2133757595952352,0.6277207217333436,0.12672026136054368,0.4054595875346133,0.08322927872250256,0.5737566456414873
hres,-87.18750000000003,5.625,2m_temperature,10,2.176418841359331,0.6339366996522209,0.13425719698984115,0.3700981325497768,0.08136511663268045,0.5833036069323932
pangu_operational,-87.18750000000003,11.25,2m_temperature,10,2.19164415977501,0.6292673289839729,0.13032453407579433,0.33666413825800634,0.07979233379001313,0.5895550838714139
graphcast_operational,-87.18750000000003,11.25,2m_temperature,10,2.1788301321986046,0.6314349156556893,0.116939026587085,0.4047947263153019,0.08053473330665548,0.5857362444808519
hres,-87.18750000000003,11.25,2m_temperature,10,2.135841948321087,0.6387066819960228,0.12292457290115774,0.37432903119198047,0.07855858903142801,0.5959013610124508
pangu_operational,-87.18750000000003,16.875,2m_temperature,10,2.1123728042865606,0.6386207763890858,0.1249578983285831,0.36426823415892834,0.07526422204571083,0.6078468618472062
graphcast_operational,-87.18750000000003,16.875,2m_temperature,10,2.119572322726453,0.6373891015734939,0.11306179618247611,0.42479045904529594,0.07630338590674073,0.6024324516788483
hres,-87.18750000000003,16.875,2m_temperature,10,2.0964087338890534,0.6413518678679261,0.12092542569853569,0.3847837116125007,0.07561676596630076,0.6060099836992853
pangu_operational,-87.18750000000003,22.5,2m_temperature,10,2.0330546291204565,0.6423312274622849,0.10926172579476613,0.38318624185905337,0.07205580327823002,0.6130552339147368
graphcast_operational,-87.18750000000003,22.5,2m_temperature,10,2.0361512195205274,0.641786454256695,0.10180269092347193,0.42529463157742026,0.07149930853834317,0.6160436500749416
hres,-87.18750000000003,22.5,2m_temperature,10,2.0396911752810034,0.6411636812069442,0.11045726070652112,0.37643710462417707,0.0730388608500997,0.6077761451406286
pangu_operational,-87.18750000000003,28.125,2m_temperature,10,1.9668945479283984,0.6417592452126414,0.10233701619570372,0.39706621443829815,0.06976244488963151,0.6112903592381148
graphcast_operational,-87.18750000000003,28.125,2m_temperature,10,1.9645618620556689,0.6421841094477925,0.09650262722092508,0.43144038677370794,0.06826312793752544,0.6196444092540422
hres,-87.18750000000003,28.125,2m_temperature,10,1.989006044738832,0.637731963061094,0.1025738761267115,0.39567071884775545,0.07100137380898067,0.6043871663249132
pangu_operational,-87.18750000000003,33.75,2m_temperature,10,1.9422180865772856,0.6406944478032737,0.09809606201905632,0.39667027164553753,0.06890398395638392,0.6082246487679424
graphcast_operational,-87.18750000000003,33.75,2m_temperature,10,1.953512925537568,0.6386049304737603,0.09361836194320844,0.4242099048867706,0.06708922237702672,0.6185430485807188
hres,-87.18750000000003,33.75,2m_temperature,10,1.9804659886380598,0.6336186803262386,0.09698792328597937,0.40348576481667525,0.06975479258008871,0.6033871077689458
pangu_operational,-87.18750000000003,39.375,2m_temperature,10,2.00554854484185,0.6347863294294879,0.10197516047172336,0.39957498490039756,0.07011475247350811,0.6035069207376741
graphcast_operational,-87.18750000000003,39.375,2m_temperature,10,2.031785777394008,0.6300084864644644,0.09943673135390568,0.41452113781003264,0.06906219976729518,0.6094590185323564
hres,-87.18750000000003,39.375,2m_temperature,10,2.069744133888578,0.6230962076568232,0.0991238770573517,0.4163632093975001,0.07244619718209777,0.5903227953000517
pangu_operational,-87.18750000000003,45.0,2m_temperature,10,2.1268608809637266,0.6272422894120108,0.11206913548610249,0.38486248929276784,0.07397649270031625,0.593400689394728
graphcast_operational,-87.18750000000003,45.0,2m_temperature,10,2.142576112710692,0.6244880078039424,0.10766095290954256,0.4090586111342211,0.07307672620058325,0.5983461041493747
hres,-87.18750000000003,45.0,2m_temperature,10,2.1905545622170455,0.6160792128725852,0.10521547675192161,0.4224816121198884,0.07645185437216004,0.5797952816154255
pangu_operational,-87.18750000000003,50.625,2m_temperature,10,2.212779567463609,0.6248783747380965,0.1191457420443342,0.35691987894055993,0.07781768425515183,0.5843611251411241
graphcast_operational,-87.18750000000003,50.625,2m_temperature,10,2.213507140141534,0.6247550329242745,0.11281847642014718,0.3910708160513748,0.0771757376493027,0.5877898825955319
hres,-87.18750000000003,50.625,2m_temperature,10,2.272095172215134,0.6148228923100436,0.10699291632703353,0.4225138355469818,0.07950733318324692,0.5753363927027072
pangu_operational,-87.18750000000003,56.25,2m_temperature,10,2.2177806444544976,0.6298013955981019,0.12231965126629607,0.331845734172959,0.0786494078139009,0.5864237576455362
graphcast_operational,-87.18750000000003,56.25,2m_temperature,10,2.2285073107465942,0.6280108682521498,0.11610647894672747,0.3657843331361013,0.07852836119809178,0.5870602787066295
hres,-87.18750000000003,56.25,2m_temperature,10,2.272703484531965,0.6206335102180452,0.10571601840195367,0.4225407943018068,0.08064258895175705,0.5759426569196813
pangu_operational,-87.18750000000003,61.87499999999999,2m_temperature,10,2.193188123705817,0.6335261992036605,0.1268295382465091,0.32205513722302154,0.07811351858170308,0.5909627215717295
graphcast_operational,-87.18750000000003,61.87499999999999,2m_temperature,10,2.2114664883339468,0.6304719506030919,0.12041668968798946,0.3563338848722097,0.07827456377502615,0.590119416996838
hres,-87.18750000000003,61.87499999999999,2m_temperature,10,2.2380714306385476,0.626026360997281,0.10740978047751339,0.4258600173628129,0.08017050300944178,0.5801914322050685
pangu_operational,-87.18750000000003,67.5,2m_temperature,10,2.16881435224827,0.6352555228357845,0.12829883520914295,0.3169348500671058,0.07828776509052555,0.5903760941126627
graphcast_operational,-87.18750000000003,67.5,2m_temperature,10,2.204719090058999,0.629217175290308,0.12388160538468077,0.3404522557194316,0.07707219124707503,0.5967363230075982
hres,-87.18750000000003,67.5,2m_temperature,10,2.204670417692987,0.6292253608580006,0.11088134731025905,0.409665847692388,0.07943984969431987,0.5843480590196541
pangu_operational,-87.18750000000003,73.125,2m_temperature,10,2.1623266702432264,0.634058733980722,0.1326105564440326,0.3121092465466375,0.0794154991414222,0.58445492872034
graphcast_operational,-87.18750000000003,73.125,2m_temperature,10,2.208883959388837,0.6261796130473184,0.12687079665777073,0.3418831030923595,0.07632452826042387,0.6006285689914977
hres,-87.18750000000003,73.125,2m_temperature,10,2.1869845455464434,0.6298857594575017,0.11540561495267107,0.40135644136259957,0.079522181599935,0.5838967080920461
pangu_operational,-87.18750000000003,78.75,2m_temperature,10,2.158212300706248,0.6320848437276264,0.13327519932401896,0.3225324267549399,0.08010044533668062,0.5802245144259116
graphcast_operational,-87.18750000000003,78.75,2m_temperature,10,2.2189877422552473,0.6217243217031223,0.1302895873257163,0.33770895866335565,0.07581061228175767,0.6027058720025521
hres,-87.18750000000003,78.75,2m_temperature,10,2.2012629047967045,0.6247459133886707,0.12045386746245006,0.3877061171795863,0.07958403170538735,0.5829308387406148
pangu_operational,-87.18750000000003,84.375,2m_temperature,10,2.175199264499289,0.6278032116652653,0.14053048561994627,0.333360436165135,0.08148885060965952,0.5734518500669165
graphcast_operational,-87.18750000000003,84.375,2m_temperature,10,2.231828252620822,0.6181134660638055,0.13726401126144494,0.3488557291047619,0.07553133923452415,0.6046360603761495
hres,-87.18750000000003,84.375,2m_temperature,10,2.2199341762260065,0.6201486529575346,0.12998686849888033,0.38337657528129826,0.08007803845139803,0.5808366556140229
pangu_operational,-87.18750000000003,90.0,2m_temperature,10,2.2207537744871466,0.6214672941595025,0.14091506133478718,0.3155592890652192,0.08240855512331358,0.5709720618779618
graphcast_operational,-87.18750000000003,90.0,2m_temperature,10,2.261210599143169,0.6145713332102545,0.13320245636271913,0.3530203012539725,0.076981529243511,0.5992257513142415
hres,-87.18750000000003,90.0,2m_temperature,10,2.267716844317744,0.6134623284123847,0.1292866839284428,0.3720396597482889,0.08203041127654119,0.5729407200427789
pangu_operational,-87.18750000000003,95.625,2m_temperature,10,2.2415573744254607,0.61763790575274,0.13414706732446638,0.30178983102757106,0.08211968116522615,0.57196365568214
graphcast_operational,-87.18750000000003,95.625,2m_temperature,10,2.2553969536811325,0.6152771673803592,0.12308194420340286,0.35938170864478247,0.07804408390091029,0.5932070863576642
hres,-87.18750000000003,95.625,2m_temperature,10,2.2893132114331185,0.6094917739342498,0.12586798433783275,0.3448808955310732,0.08263816314911983,0.56926114722337
pangu_operational,-87.18750000000003,101.25,2m_temperature,10,2.254846651617707,0.6150186952186766,0.13030168963024782,0.297557495330865,0.08243931972645417,0.5689823688041196
graphcast_operational,-87.18750000000003,101.25,2m_temperature,10,2.243514036395026,0.6169535695889059,0.12040100839704504,0.35093101138515903,0.07872965394623556,0.5883776205168185
hres,-87.18750000000003,101.25,2m_temperature,10,2.2993362474842387,0.6074227628506803,0.12220798301842695,0.34118980401847865,0.08285822756426463,0.5667921922652839
pangu_operational,-87.18750000000003,106.875,2m_temperature,10,2.2559398995362785,0.6134621568006873,0.1242184740451125,0.29789855545740823,0.08230770409047282,0.5675299659244221
graphcast_operational,-87.18750000000003,106.875,2m_temperature,10,2.2547416421519215,0.6136674689302534,0.1154711201590241,0.3473399114759784,0.08013445338498316,0.5789488946510062
hres,-87.18750000000003,106.875,2m_temperature,10,2.2875868732135336,0.6080396927751579,0.11791565601895024,0.33352302818479423,0.0831434117687205,0.5631389003239076
pangu_operational,-87.18750000000003,112.5,2m_temperature,10,2.2530744298011487,0.609722934792365,0.11627456396398908,0.28415120995144555,0.0820052959866968,0.5654136116379218
graphcast_operational,-87.18750000000003,112.5,2m_temperature,10,2.2542470378674784,0.6095198158768454,0.11028104877630349,0.32105051491526504,0.0798590065992387,0.5767878545090966
hres,-87.18750000000003,112.5,2m_temperature,10,2.2973691682731125,0.6020502097787916,0.11216426557397058,0.30945641883741076,0.08289120891085348,0.5607187234178366
pangu_operational,-87.18750000000003,118.125,2m_temperature,10,2.230316992870602,0.6061421748863582,0.12067217847042397,0.32445352530005117,0.0816198453205922,0.5597841038847944
graphcast_operational,-87.18750000000003,118.125,2m_temperature,10,2.234240374376516,0.6054493341323534,0.11155290018029551,0.37550503011906755,0.07918632799515445,0.5729092575275345
hres,-87.18750000000003,118.125,2m_temperature,10,2.3062602791788698,0.5927311406374288,0.12138223563328726,0.3204784863201648,0.08167657013047855,0.5594781591367003
pangu_operational,-87.18750000000003,123.74999999999999,2m_temperature,10,2.2425946218786184,0.5982790033570563,0.11911999044937384,0.3286703167282266,0.08159366943192616,0.5509868756660827
graphcast_operational,-87.18750000000003,123.74999999999999,2m_temperature,10,2.2289489519901173,0.6007233827620498,0.11333787341079293,0.3612568438552631,0.08004779867343181,0.5594938623467969
hres,-87.18750000000003,123.74999999999999,2m_temperature,10,2.2941880427990484,0.5890369583302062,0.11901039248965738,0.32928798269097664,0.08105191811072768,0.5539681541774788
pangu_operational,-87.18750000000003,129.375,2m_temperature,10,2.2511930345907367,0.591058170286534,0.11662600542412431,0.3350687248964903,0.08164322893753466,0.5391554626579695
graphcast_operational,-87.18750000000003,129.375,2m_temperature,10,2.2369082694326514,0.5936530779248461,0.11378130106545538,0.3512875166627303,0.08000250698860882,0.5484167052288403
hres,-87.18750000000003,129.375,2m_temperature,10,2.301901772773534,0.5818466438397564,0.11867225979703892,0.3234022142891846,0.0812911810349637,0.5411426372821712
pangu_operational,-87.18750000000003,135.0,2m_temperature,10,2.2729350876929066,0.5832534496803464,0.11403263840788962,0.34241674302412467,0.08274638549965199,0.5243667469022455
graphcast_operational,-87.18750000000003,135.0,2m_temperature,10,2.282949212908531,0.5814173426306213,0.11441407941576429,0.34021711646277847,0.08079144713267347,0.5356038987062419
hres,-87.18750000000003,135.0,2m_temperature,10,2.346599561404035,0.5697469419641994,0.11713413344094532,0.32453158984511904,0.08282291801023225,0.5239268315300485
pangu_operational,-87.18750000000003,140.625,2m_temperature,10,2.2971625607983324,0.5731720900738331,0.11515668178233163,0.3454428611388083,0.0829156958014275,0.5138901933917153
graphcast_operational,-87.18750000000003,140.625,2m_temperature,10,2.3210282457100706,0.5687376888766041,0.11474112550873054,0.34780490666907365,0.08147243542753548,0.5223515952343563
hres,-87.18750000000003,140.625,2m_temperature,10,2.3762920492460116,0.5584693107651229,0.11948834706536798,0.3208214289276237,0.08375629554927815,0.5089620096876161
pangu_operational,-87.18750000000003,146.25,2m_temperature,10,2.3483333900366614,0.5571870815633929,0.10918398417167456,0.31710769786943604,0.08449457361181716,0.4933292972837708
graphcast_operational,-87.18750000000003,146.25,2m_temperature,10,2.3650307907149726,0.5540385402378561,0.10594543594612581,0.33736322957661835,0.08237291059646197,0.5060518242457472
hres,-87.18750000000003,146.25,2m_temperature,10,2.4332887734450668,0.5411674902125287,0.11142550844573973,0.30308806226618595,0.08611907585642256,0.48358798895289834
pangu_operational,-87.18750000000003,151.875,2m_temperature,10,2.3133806276497553,0.5450616052601752,0.11093472655699682,0.31022130803457054,0.08306754496177299,0.47814729960086744
graphcast_operational,-87.18750000000003,151.875,2m_temperature,10,2.329167726366783,0.5419569897628023,0.10403765089228896,0.3531064890598689,0.08081903600263335,0.4922730387537297
hres,-87.18750000000003,151.875,2m_temperature,10,2.3985621058371493,0.5283102222473813,0.11208750534080548,0.30305346919546283,0.0848730892483863,0.4668043838797758
pangu_operational,-87.18750000000003,157.5,2m_temperature,10,2.2071515678445786,0.5449282893900032,0.10408071340216965,0.29775679530154253,0.07845007435172245,0.4837582565770228
graphcast_operational,-87.18750000000003,157.5,2m_temperature,10,2.2035438857218215,0.5456721232520987,0.09580115009195296,0.3536198546755104,0.076533735703828,0.49636874818908255
hres,-87.18750000000003,157.5,2m_temperature,10,2.2589252824844817,0.534253556748591,0.10299154607368426,0.30510551852034873,0.07983418159124245,0.4746501207298771
pangu_operational,-87.18750000000003,163.125,2m_temperature,10,2.082230432121131,0.5495698427703075,0.10555013974811991,0.2937178118261699,0.07463700674323832,0.4879201316500794
graphcast_operational,-87.18750000000003,163.125,2m_temperature,10,2.0560108062410825,0.5552416983082286,0.09755330836472226,0.3472281111152228,0.07185790817779797,0.506987354327134
hres,-87.18750000000003,163.125,2m_temperature,10,2.100030988765779,0.545719208659626,0.09949686146816401,0.33422294653650575,0.07504020657204813,0.48515380266309416
pangu_operational,-87.18750000000003,168.75,2m_temperature,10,2.000246812765111,0.5547147150929812,0.10515268082111129,0.27966785457062676,0.07154095251437749,0.4955004247983172
graphcast_operational,-87.18750000000003,168.75,2m_temperature,10,1.9714345599008778,0.5611287596716737,0.09640715260942387,0.33957774037139976,0.06996051962632564,0.5066454779830185
