model,lat,lon,variable,lead_time,pc,pcs,tw_pc,tw_pcs,qw_pc,qw_pcs
pangu_operational,-87.18750000000003,0.0,2m_temperature,3,0.7213826640254578,0.8804035177817061,0.04777263237372643,0.7507636080587362,0.023284387983228343,0.8809096639240701
graphcast_operational,-87.18750000000003,0.0,2m_temperature,3,0.6391587891454019,0.8940352373674499,0.05573484635704332,0.7092236428849187,0.021278288231521364,0.8911700621705135
hres,-87.18750000000003,0.0,2m_temperature,3,0.5856836337676543,0.9029007685039585,0.05072698565613377,0.7353503407540022,0.021983536935378953,0.8875629969893281
pangu_operational,-87.18750000000003,5.625,2m_temperature,3,0.7279536450521542,0.8789420149597683,0.04712190880568041,0.7249019483963252,0.023086073338096924,0.8818959268964425
graphcast_operational,-87.18750000000003,5.625,2m_temperature,3,0.6296917534602222,0.8952828722151898,0.05115176307822056,0.7013756293926922,0.02072695384706173,0.8939647450427256
hres,-87.18750000000003,5.625,2m_temperature,3,0.5766427246106466,0.9041048742540843,0.045570855112690746,0.7339570113105572,0.021357052487774638,0.8907412771607968
pangu_operational,-87.18750000000003,11.25,2m_temperature,3,0.7169704213353975,0.8800349625268321,0.04436744338272178,0.7334391725022685,0.02255206168648977,0.8840848715379624
graphcast_operational,-87.18750000000003,11.25,2m_temperature,3,0.6268260971842281,0.8951181052939304,0.04981621044027609,0.7007028292522158,0.020196925513095557,0.8961900136699622
hres,-87.18750000000003,11.25,2m_temperature,3,0.56339136765504,0.9057321410736706,0.041500975644179386,0.7506609899910575,0.020101250837336472,0.8966817710305683
pangu_operational,-87.18750000000003,16.875,2m_temperature,3,0.7082410124437719,0.880091782918392,0.043152981322554296,0.7286760373720078,0.02172988984236171,0.8868040501255028
graphcast_operational,-87.18750000000003,16.875,2m_temperature,3,0.6243338748940849,0.8942976183433814,0.046390534968662786,0.7083199493901158,0.020016636850575933,0.8957287755239007
hres,-87.18750000000003,16.875,2m_temperature,3,0.5542502386873173,0.9061630761698819,0.038873609558605755,0.7555825469332835,0.01911517499189951,0.9004246958487971
pangu_operational,-87.18750000000003,22.5,2m_temperature,3,0.6806555783748315,0.8814241737274656,0.04124226259986168,0.7215368655833007,0.020824166331119227,0.8880720899312662
graphcast_operational,-87.18750000000003,22.5,2m_temperature,3,0.5956018688918359,0.8962412327510183,0.03971150978974306,0.731872336982104,0.018862053887372464,0.8986182573819286
hres,-87.18750000000003,22.5,2m_temperature,3,0.5361293928627681,0.9066018295192957,0.037451950074534605,0.7471286309154237,0.01790437272633621,0.9037657023822503
pangu_operational,-87.18750000000003,28.125,2m_temperature,3,0.6432588885215385,0.8839360478027304,0.0362523070036466,0.7288987299143548,0.020422343358670443,0.8860088070670169
graphcast_operational,-87.18750000000003,28.125,2m_temperature,3,0.5640897765845418,0.898220623091655,0.032563461916605634,0.7564845767446103,0.017900935174723145,0.9000825263122234
hres,-87.18750000000003,28.125,2m_temperature,3,0.5073702559263719,0.9084545924184566,0.03195340621437531,0.7610466829763873,0.01700516184470172,0.9050824554924046
pangu_operational,-87.18750000000003,33.75,2m_temperature,3,0.6400209019496271,0.8826898787162948,0.03535663800705456,0.7322502635173593,0.01999850418063724,0.8860916151944449
graphcast_operational,-87.18750000000003,33.75,2m_temperature,3,0.5541261249332323,0.898433625020104,0.03112739734833097,0.7642775753808054,0.017189904438936015,0.9020889646588233
hres,-87.18750000000003,33.75,2m_temperature,3,0.4986838538980536,0.9085956986642125,0.032384743498588525,0.7547559093125625,0.016561963626736505,0.9056656183437717
pangu_operational,-87.18750000000003,39.375,2m_temperature,3,0.6936041404377047,0.8748508277704061,0.037663823119345914,0.7315669164670792,0.021449321387431667,0.8785179195243007
graphcast_operational,-87.18750000000003,39.375,2m_temperature,3,0.5697846259768959,0.8971919714245684,0.03240926425912992,0.7690165782548256,0.01789133028937168,0.8986692405427649
hres,-87.18750000000003,39.375,2m_temperature,3,0.5278197695309373,0.9047638221975917,0.03215912976026274,0.7707993068593041,0.017594483991133066,0.9003504828179946
pangu_operational,-87.18750000000003,45.0,2m_temperature,3,0.754225377201518,0.869041349614361,0.040161370267315644,0.7347224657686958,0.024465673572456905,0.865376871200869
graphcast_operational,-87.18750000000003,45.0,2m_temperature,3,0.6168318883231533,0.8928974361624507,0.03493065293279762,0.7692728754665228,0.01963194535054276,0.8919746108899705
hres,-87.18750000000003,45.0,2m_temperature,3,0.5868043747244454,0.8981112128055992,0.033582010352442175,0.7781810520524993,0.020590196538268556,0.8867018039637654
pangu_operational,-87.18750000000003,50.625,2m_temperature,3,0.7966795806744892,0.8661803681997681,0.04255604925557955,0.7357021993131515,0.025336043410921372,0.8645544984630156
graphcast_operational,-87.18750000000003,50.625,2m_temperature,3,0.6490198605614959,0.8909830239431434,0.03880069410148996,0.7590251375413464,0.020689838070165917,0.889392931300211
hres,-87.18750000000003,50.625,2m_temperature,3,0.6194213158449684,0.895954742124291,0.03535019653330735,0.7804547329689909,0.0215166847387637,0.8849726412057389
pangu_operational,-87.18750000000003,56.25,2m_temperature,3,0.806510232347228,0.8665636533623204,0.04538067842789946,0.7284517885813403,0.025820635652906918,0.8640743477595922
graphcast_operational,-87.18750000000003,56.25,2m_temperature,3,0.6605699359282822,0.8907093358351748,0.03954148996807578,0.7633922354263742,0.021423508975690845,0.8872218147553168
hres,-87.18750000000003,56.25,2m_temperature,3,0.6300211447039119,0.895763604127982,0.03662916043320119,0.7808189884775304,0.02204989493354424,0.8839243777355635
pangu_operational,-87.18750000000003,61.87499999999999,2m_temperature,3,0.8121011314165292,0.8654353459790561,0.04325916231426385,0.7393221540855567,0.025677334268142636,0.8653185353752191
graphcast_operational,-87.18750000000003,61.87499999999999,2m_temperature,3,0.6591314639408132,0.890782325047616,0.03519982567704831,0.7878873689833027,0.022133444966800888,0.8839067656248432
hres,-87.18750000000003,61.87499999999999,2m_temperature,3,0.6420634051940376,0.8936104918007676,0.03629743513818126,0.7812732217211606,0.022142094763291983,0.8838613961465336
pangu_operational,-87.18750000000003,67.5,2m_temperature,3,0.8203695113972107,0.8631225993151289,0.04391797697951103,0.7513831782203125,0.025659631672926946,0.8654424866708863
graphcast_operational,-87.18750000000003,67.5,2m_temperature,3,0.6651709797257178,0.889017237414395,0.03173376196216104,0.8203572298918433,0.023208834043700843,0.878294317081589
hres,-87.18750000000003,67.5,2m_temperature,3,0.649261277556852,0.8916717469351546,0.03979531941835998,0.7747212755242376,0.022222262875478772,0.8834678349562911
pangu_operational,-87.18750000000003,73.125,2m_temperature,3,0.8522819032487503,0.856857386733033,0.04372453341243306,0.7623548883990714,0.02683754306313772,0.8592097418012489
graphcast_operational,-87.18750000000003,73.125,2m_temperature,3,0.6811302788722138,0.8856026770938368,0.03385678856200338,0.8159865945195315,0.023694626557146947,0.8756975411998211
hres,-87.18750000000003,73.125,2m_temperature,3,0.6485736166135235,0.8910706398620182,0.04008873781012446,0.7821156264615868,0.022454201526099875,0.8822048343594988
pangu_operational,-87.18750000000003,78.75,2m_temperature,3,0.8624690095684698,0.8540560034300343,0.041291560955443674,0.7790700721050953,0.027646078487458793,0.8547213738704281
graphcast_operational,-87.18750000000003,78.75,2m_temperature,3,0.6918078075951957,0.8829346965762097,0.03340810102425247,0.821250415832954,0.02408246453475954,0.8734479697360651
hres,-87.18750000000003,78.75,2m_temperature,3,0.6525690066314239,0.8895745495677179,0.0394296135867593,0.7890323958436293,0.022767413025777856,0.8803584932882985
pangu_operational,-87.18750000000003,84.375,2m_temperature,3,0.8691199917640895,0.8523659950192394,0.03578382108763398,0.8129950026772439,0.028604560211723633,0.8498332164790815
graphcast_operational,-87.18750000000003,84.375,2m_temperature,3,0.6961662677572074,0.881744965924794,0.03386010912687792,0.8230482540946912,0.02404932619415866,0.8737470552355483
hres,-87.18750000000003,84.375,2m_temperature,3,0.6531334330948376,0.8890547848072079,0.039720403176292045,0.7924225623795051,0.0232846743777541,0.8777612859362824
pangu_operational,-87.18750000000003,90.0,2m_temperature,3,0.8688225044229643,0.8529545352327396,0.033040186997710684,0.830768188040625,0.02919929334311146,0.8475209928393692
graphcast_operational,-87.18750000000003,90.0,2m_temperature,3,0.7065998980359353,0.8804101989966289,0.03692509931649797,0.8108696701824416,0.02381966826504568,0.8756134497752636
