,Model,Threshold,PC,PCS,AUC,AUC+
3,f4,13.0,0.15094205200000002,0.3063324816176469,0.8239338235294117,0.8306893382352941
0,f1,14.0,0.149534315,0.27813858006961106,0.8151976094732828,0.8226607643699524
1,f2,14.0,0.149534315,0.27813858006961106,0.8151976094732828,0.8226607643699524
2,f3,14.0,0.149534315,0.27813858006961106,0.8151976094732828,0.8226607643699524
3,f4,14.0,0.149534315,0.27813858006961106,0.8151976094732828,0.8226607643699524
0,f1,15.0,0.14535161700000004,0.2573150359458587,0.8121260429919626,0.8202783696368625
1,f2,15.0,0.14535161700000004,0.2573150359458587,0.8121260429919626,0.8202783696368625
2,f3,15.0,0.14535161700000004,0.2573150359458587,0.8121260429919626,0.8202783696368625
3,f4,15.0,0.14535161700000004,0.2573150359458587,0.8121260429919626,0.8202783696368625
0,f1,16.0,0.13927542799999998,0.2206667300837667,0.8013720476075898,0.8100284817386731
1,f2,16.0,0.13927542799999998,0.2206667300837667,0.8013720476075898,0.8100284817386731
2,f3,16.0,0.13927542799999998,0.2206667300837667,0.8013720476075898,0.8100284817386731
3,f4,16.0,0.13927542799999998,0.2206667300837667,0.8013720476075898,0.8100284817386731
0,f1,17.0,0.13110319899999998,0.21521406594195977,0.8055981227851738,0.8152984627909203
1,f2,17.0,0.13110319899999998,0.21521406594195977,0.8055981227851738,0.8152984627909203
2,f3,17.0,0.13110319899999998,0.21521406594195977,0.8055981227851738,0.8152984627909203
3,f4,17.0,0.13110319899999998,0.21521406594195977,0.8055981227851738,0.8152984627909203
0,f1,18.0,0.12602781300000002,0.2063539824680721,0.8055681503312426,0.815124436383788
1,f2,18.0,0.12602781300000002,0.2063539824680721,0.8055681503312426,0.815124436383788
2,f3,18.0,0.12602781300000002,0.2063539824680721,0.8055681503312426,0.815124436383788
3,f4,18.0,0.12602781300000002,0.2063539824680721,0.8055681503312426,0.815124436383788
0,f1,19.0,0.12058000699999999,0.19006416749509672,0.79991402240791,0.8097577850022837
1,f2,19.0,0.12058000699999999,0.19006416749509672,0.79991402240791,0.8097577850022837
2,f3,19.0,0.12058000699999999,0.19006416749509672,0.79991402240791,0.8097577850022837
3,f4,19.0,0.12058000699999999,0.19006416749509672,0.79991402240791,0.8097577850022837
0,f1,20.0,0.11491569,0.17392808620454175,0.7963784316121658,0.8054503238421117
1,f2,20.0,0.11491569,0.17392808620454175,0.7963784316121658,0.8054503238421117
2,f3,20.0,0.11491569,0.17392808620454175,0.7963784316121658,0.8054503238421117
3,f4,20.0,0.11491569,0.17392808620454175,0.7963784316121658,0.8054503238421117
0,f1,21.0,0.10737912,0.15315483560595905,0.79387850061909,0.8026601156160538
1,f2,21.0,0.10737912,0.15315483560595905,0.79387850061909,0.8026601156160538
2,f3,21.0,0.10737912,0.15315483560595905,0.79387850061909,0.8026601156160538
3,f4,21.0,0.10737912,0.15315483560595905,0.79387850061909,0.8026601156160538
0,f1,22.0,0.097934252,0.13971264680821158,0.7915125747766583,0.8030991136605206
1,f2,22.0,0.097934252,0.13971264680821158,0.7915125747766583,0.8030991136605206
2,f3,22.0,0.097934252,0.13971264680821158,0.7915125747766583,0.8030991136605206
3,f4,22.0,0.097934252,0.13971264680821158,0.7915125747766583,0.8030991136605206
0,f1,23.0,0.08847585200000001,0.12403615698388172,0.7836026295988278,0.7984683774900003
1,f2,23.0,0.08847585200000001,0.12403615698388172,0.7836026295988278,0.7984683774900003
2,f3,23.0,0.08847585200000001,0.12403615698388172,0.7836026295988278,0.7984683774900003
3,f4,23.0,0.08847585200000001,0.12403615698388172,0.7836026295988278,0.7984683774900003
0,f1,24.0,0.08079271700000001,0.11020256831022357,0.7773984294981221,0.7919745812178549
1,f2,24.0,0.08079271700000001,0.11020256831022357,0.7773984294981221,0.7919745812178549
2,f3,24.0,0.08079271700000001,0.11020256831022357,0.7773984294981221,0.7919745812178549
3,f4,24.0,0.08079271700000001,0.11020256831022357,0.7773984294981221,0.7919745812178549
0,f1,25.0,0.068951921,0.10386877469328341,0.789028384279476,0.8056443647327927
1,f2,25.0,0.068951921,0.10386877469328341,0.789028384279476,0.8056443647327927
2,f3,25.0,0.068951921,0.10386877469328341,0.789028384279476,0.8056443647327927
3,f4,25.0,0.068951921,0.10386877469328341,0.789028384279476,0.8056443647327927
0,f1,26.0,0.06252648200000001,0.09871737657657653,0.7908612612612613,0.8080288288288289
1,f2,26.0,0.06252648200000001,0.09871737657657653,0.7908612612612613,0.8080288288288289
2,f3,26.0,0.06252648200000001,0.09871737657657653,0.7908612612612613,0.8080288288288289
3,f4,26.0,0.06252648200000001,0.09871737657657653,0.7908612612612613,0.8080288288288289
0,f1,27.0,0.058793983,0.09686662058371741,0.7961597542242704,0.8129185867895545
