dataset,variable,p1,p5,p50,p95,p99
ERA5,MSLP (hPa),96786.4984375,98131.66796875,101172.765625,102677.087890625,103423.42265625
IFS analysis,MSLP (hPa),96803.082421875,98143.169921875,101171.1875,102676.2578125,103424.484765625
ERA5,T2M (K),219.40132751464844,237.5571403503418,283.81675720214844,301.0961380004883,305.57370910644534
IFS analysis,T2M (K),219.9206687927246,237.9834442138672,283.7281951904297,301.25762939453125,305.2149887084961
ERA5,WS10 (m s⁻¹),1.268078762292862,1.9401358664035797,5.920571327209473,12.661019325256348,15.707682466506963
IFS analysis,WS10 (m s⁻¹),1.3840617835521698,2.083792567253113,5.999982118606567,12.7453773021698,15.814272737503053
