,Model,RMSE,MAE,QL90,PC,ACC,CPA,PCS
0,f1,383.983997629738,197.9345293850408,177.99027463140524,109.54453053348628,0.46768489415812564,0.8686571866571866,0.22767377251899437
1,f2,379.8340708797,193.1786870424368,173.47007573159786,109.54453053348628,0.4747625458829038,0.8686571866571866,0.22767377251899437
2,f3,380.7707586650477,194.2728073555376,174.56715867045065,109.54453053348628,0.4757396137194889,0.8686571866571866,0.22767377251899437
3,f4,373.5879958941035,186.62713612067415,166.6689493409635,109.54453053348628,0.47229089683006165,0.8686571866571866,0.22767377251899437
