,Model,RMSE,MAE,QL90,PC,ACC,CPA,PCS
0,f1,9.7606752221574,6.320413537571134,5.364035286020196,3.4230353960829865,0.6397334555084024,0.8686571866571866,0.3369155878398201
1,f2,7.2547656276515315,5.063224744022682,2.5931631607405756,3.4230353960829865,0.654392617483686,0.8686571866571866,0.3369155878398201
2,f3,7.436831398032828,4.987102131098209,3.1051246365807477,3.4230353960829865,0.6532661482261629,0.8686571866571866,0.3369155878398201
3,f4,12.29620171340538,9.68890059209646,1.3806501550244275,3.4230353960829865,0.6556440160401288,0.8686571866571866,0.3369155878398201
